Backtest no.,Backtest name,Date range,Trading period,No. of simulations,PF value (dynamic),MDD (dynamic),Sharpe (dynamic),PF value (static),MDD (static),Sharpe (static),PF value (eq),MDD (eq),Sharpe (eq)
5,Calm before the storm,2016-09-07 to 2016-10-28,4h,23,0.6855,0.3447,-3.355,0.6894,0.3401,-3.347,0.727,0.2936,-3.306
8,Awakening,2016-12-08 to 2017-01-28,15min,9,1.1115,0.1632,1.3371,1.0995,0.192,1.3766,1.1218,0.182,1.6468
23,Ethereum valley,2017-05-28 to 2017-07-18,4h,36,0.9942,0.4535,-0.047,0.9559,0.4434,-0.4441,0.9746,0.4326,-0.2718
12,Awakening,2016-12-08 to 2017-01-28,1d,14,1.0604,0.1491,0.7798,1.0344,0.1614,0.4865,1.0802,0.1553,1.2078
31,Rock bottom,2018-11-10 to 2018-12-31,5min,14,1.1281,0.1123,3.1678,1.186,0.2089,3.1031,1.2689,0.1954,3.5316
4,Calm before the storm,2016-09-07 to 2016-10-28,2h,44,0.6849,0.3348,-3.4259,0.7075,0.3116,-3.3638,0.7291,0.2931,-3.3171
15,Ripple bull run,2017-03-07 to 2017-04-27,30min,15,2.6466,0.3567,3.1161,2.5051,0.8616,3.1021,2.4729,0.8358,3.1125
22,Ethereum valley,2017-05-28 to 2017-07-18,2h,44,1.0143,0.4556,0.1629,0.9717,0.4459,-0.2901,0.9767,0.4338,-0.2506
33,Rock bottom,2018-11-10 to 2018-12-31,30min,10,1.1062,0.1181,2.9609,1.0912,0.214,2.264,1.1011,0.203,2.5325
30,All-time high,2017-11-23 to 2018-01-13,1d,11,1.9087,0.4015,2.4836,2.2211,0.5634,2.4527,2.1529,0.5301,2.4605
27,All-time high,2017-11-23 to 2018-01-13,30min,10,2.0358,0.4299,2.656,2.331,0.7611,2.621,2.2962,0.734,2.634
36,Rock bottom,2018-11-10 to 2018-12-31,1d,13,1.124,0.1019,3.3832,1.0939,0.1564,2.4585,1.0974,0.1561,2.5452
1,Calm before the storm,2016-09-07 to 2016-10-28,5min,9,0.7235,0.3108,-3.3439,0.8033,0.2327,-3.1769,0.9136,0.1324,-2.6384
9,Awakening,2016-12-08 to 2017-01-28,30min,12,1.1023,0.1623,1.2672,1.0898,0.1923,1.2815,1.1,0.1829,1.4453
10,Awakening,2016-12-08 to 2017-01-28,2h,44,1.0925,0.1597,1.1831,1.0839,0.186,1.2177,1.0861,0.1769,1.3021
13,Ripple bull run,2017-03-07 to 2017-04-27,5min,10,2.7606,0.3741,3.1384,2.6105,0.9118,3.1507,2.6406,0.8787,3.1881
29,All-time high,2017-11-23 to 2018-01-13,4h,11,1.9035,0.3976,2.5791,2.2957,0.6257,2.5952,2.2705,0.6114,2.6031
35,Rock bottom,2018-11-10 to 2018-12-31,4h,9,1.0747,0.1376,2.5486,1.0957,0.1772,2.4207,1.0961,0.1688,2.539
34,Rock bottom,2018-11-10 to 2018-12-31,2h,14,1.1267,0.1199,3.3465,1.0919,0.2002,2.3313,1.094,0.1916,2.4698
14,Ripple bull run,2017-03-07 to 2017-04-27,15min,10,2.6923,0.3693,3.1174,2.5166,0.871,3.1089,2.4947,0.8469,3.1222
28,All-time high,2017-11-23 to 2018-01-13,2h,11,1.9558,0.4298,2.6201,2.3212,0.6545,2.6147,2.2824,0.6324,2.6234
11,Awakening,2016-12-08 to 2017-01-28,4h,39,1.0852,0.1569,1.1357,1.0816,0.1789,1.2113,1.0842,0.1725,1.2832
